ClusterId,cluster_nm,trip_year,trip_month,hakdama,eibizua,eihurim,takin
102,אשכול דרומי,2024,1,0.0,0.0,2.0,19735.0
102,אשכול דרומי,2024,2,0.0,0.0,0.0,17022.0
102,אשכול דרומי,2024,3,0.0,0.0,7.0,18244.0
102,אשכול דרומי,2024,4,0.0,1.0,4.0,12825.0
102,אשכול דרומי,2024,5,0.0,4.0,9.0,17565.0
102,אשכול דרומי,2024,6,0.0,0.0,4.0,15849.0
102,אשכול דרומי,2024,7,0.0,0.0,4.0,18050.0
102,אשכול דרומי,2024,8,0.0,2.0,1.0,17326.0
102,אשכול דרומי,2024,10,0.0,6.0,3.0,11620.0
102,אשכול דרומי,2024,11,0.0,0.0,0.0,14524.0
102,אשכול דרומי,2024,12,16.0,73.0,29.0,18194.0
141,צפון הנגב,2024,1,133.0,1522.0,1217.0,112216.0
141,צפון הנגב,2024,2,131.0,861.0,1227.0,108649.0
141,צפון הנגב,2024,3,173.0,2730.0,1582.0,122271.0
141,צפון הנגב,2024,4,276.0,3531.0,1796.0,109942.0
141,צפון הנגב,2024,5,136.0,4757.0,1527.0,123970.0
141,צפון הנגב,2024,6,160.0,3412.0,1545.0,108081.0
141,צפון הנגב,2024,7,234.0,4692.0,1563.0,128051.0
141,צפון הנגב,2024,8,240.0,2730.0,1317.0,127461.0
141,צפון הנגב,2024,10,338.0,2082.0,1964.0,106539.0
141,צפון הנגב,2024,11,198.0,1610.0,1845.0,121662.0
141,צפון הנגב,2024,12,223.0,2272.0,1861.0,134161.0
143,רהט והנגב המערבי,2024,1,0.0,0.0,101.0,33039.0
143,רהט והנגב המערבי,2024,2,0.0,3.0,103.0,30047.0
143,רהט והנגב המערבי,2024,3,0.0,4.0,149.0,29556.0
143,רהט והנגב המערבי,2024,4,0.0,1.0,162.0,26261.0
143,רהט והנגב המערבי,2024,5,0.0,1.0,144.0,32599.0
143,רהט והנגב המערבי,2024,6,0.0,1.0,198.0,26956.0
143,רהט והנגב המערבי,2024,7,0.0,2.0,146.0,33249.0
143,רהט והנגב המערבי,2024,8,0.0,3.0,130.0,32729.0
143,רהט והנגב המערבי,2024,10,0.0,4.0,229.0,29013.0
143,רהט והנגב המערבי,2024,11,0.0,3.0,269.0,29695.0
143,רהט והנגב המערבי,2024,12,0.0,2.0,193.0,32668.0
